Number of elements (N);Time for InsertionSort algorithm (ns);Time for MergeSort(with NO Cut off) algorithm (ns)
Number of elements (N);Time for InsertionSort algorithm (ns);Time for MergeSort(with NO Cut off) algorithm (ns)
1;3890.0;930.0
2;2980.0;1510.0
4;3800.0;1340.0
8;5550.0;2830.0
16;21200.0;10380.0
32;29980.0;32510.0
64;13330.0;95640.0
